Task #,Driver,Forklift,Workcenter,Part No,Status,Name,Creation Time,Start Time,End Time,Duration (m:s),Distance
10737,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:31 AM,11/28/22 09:32 AM,11/28/22 09:32 AM,00:01,0
10736,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:31 AM,11/28/22 10:09 AM,11/28/22 10:09 AM,00:02,0
10735,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 09:29 AM,11/28/22 09:30 AM,11/28/22 09:30 AM,00:01,0
10734,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:29 AM,11/28/22 10:07 AM,11/28/22 10:07 AM,00:11,0
10733,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,11/28/22 09:27 AM,11/28/22 09:30 AM,11/28/22 09:30 AM,00:01,0
10732,Linde 15,Linde 15,Assembly-5,84101-3S5-A110-M1-NH900L-MAP,Completed,F/G Put Away,11/28/22 09:27 AM,11/28/22 10:06 AM,11/28/22 10:07 AM,00:48,0
10731,Linde 17,Linde 17,Assembly-10,71140-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,11/28/22 09:25 AM,11/28/22 09:25 AM,11/28/22 09:25 AM,00:01,0
10730,Linde 11,Linde 11,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:25 AM,11/28/22 10:05 AM,11/28/22 10:05 AM,00:54,0
10729,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:25 AM,11/28/22 09:58 AM,11/28/22 10:06 AM,07:41,970
10728,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:19 AM,11/28/22 09:25 AM,11/28/22 09:25 AM,00:01,0
10727,Linde 17,Linde 17,Assembly-14,74465-T20-A000-HCM,Completed,Container Move,11/28/22 09:17 AM,11/28/22 09:18 AM,11/28/22 09:18 AM,00:01,0
10726,Linde 17,Linde 17,Assembly-9,84141-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 09:17 AM,11/28/22 09:18 AM,11/28/22 09:18 AM,00:02,0
10725,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:15 AM,11/28/22 09:58 AM,11/28/22 09:58 AM,00:01,0
10724,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:15 AM,11/28/22 09:58 AM,11/28/22 09:58 AM,00:03,0
10723,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:15 AM,11/28/22 09:58 AM,11/28/22 09:58 AM,00:05,0
10722,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:15 AM,11/28/22 09:55 AM,11/28/22 09:57 AM,02:59,147
10721,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 09:09 AM,11/28/22 09:53 AM,11/28/22 09:54 AM,01:48,51
10720,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:09 AM,11/28/22 09:52 AM,11/28/22 09:52 AM,00:01,0
10719,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 09:06 AM,11/28/22 09:51 AM,11/28/22 10:02 AM,11:30,0
10718,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:04 AM,11/28/22 09:38 AM,11/28/22 09:40 AM,01:47,0
10717,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:04 AM,11/28/22 09:37 AM,11/28/22 09:48 AM,11:06,353
10716,Linde 15,Linde 15,Assembly-1,84500-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 09:04 AM,11/28/22 09:27 AM,11/28/22 09:27 AM,00:11,0
10715,Linde 15,Linde 15,Assembly-8,84191-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 08:59 AM,11/28/22 09:27 AM,11/28/22 09:27 AM,00:02,0
10714,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:55 AM,11/28/22 08:56 AM,11/28/22 08:56 AM,00:01,0
10713,Linde 17,Linde 17,Assembly-14A,74465-T20-A000-HMI,Completed,Container Move,11/28/22 08:52 AM,11/28/22 08:56 AM,11/28/22 08:56 AM,00:01,0
10712,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:45 AM,11/28/22 08:49 AM,11/28/22 08:49 AM,00:01,0
10711,Linde 15,Linde 15,Assembly-4,84151-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:43 AM,11/28/22 09:25 AM,11/28/22 09:27 AM,01:50,0
10710,Linde 15,Linde 15,Assembly-3,84131-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:42 AM,11/28/22 09:21 AM,11/28/22 09:21 AM,00:01,0
10709,Linde 11,Linde 11,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:41 AM,11/28/22 09:16 AM,11/28/22 09:37 AM,20:32,0
10708,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:37 AM,11/28/22 09:15 AM,11/28/22 09:19 AM,03:46,105
10707,Linde 17,Linde 17,Assembly-17,74110-T20-A100-HCM,Completed,F/G Put Away,11/28/22 08:35 AM,11/28/22 08:35 AM,11/28/22 08:35 AM,00:05,0
10706,Linde 17,Linde 17,Assembly-16,74111-T20-A004-WIP,Completed,Replenishment,11/28/22 08:33 AM,11/28/22 08:34 AM,11/28/22 08:34 AM,00:02,0
10705,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C2-NH900L-WIP,Completed,Replenishment,11/28/22 08:33 AM,11/28/22 09:09 AM,11/28/22 09:15 AM,05:48,683
10704,Linde 17,Linde 17,Assembly-11,77380-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:31 AM,11/28/22 08:34 AM,11/28/22 08:34 AM,00:01,0
10703,Linde 17,Linde 17,Assembly-10,71190-T20-A610-M1-NH696L-HCM,Completed,F/G Put Away,11/28/22 08:31 AM,11/28/22 08:34 AM,11/28/22 08:34 AM,00:02,0
10702,Linde 11,Linde 11,Assembly-5,84101-T20-A110-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:30 AM,11/28/22 09:09 AM,11/28/22 09:12 AM,03:34,0
10701,Linde 15,Linde 15,Assembly-2,84181-T20-A010-M1-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:30 AM,11/28/22 09:00 AM,11/28/22 09:09 AM,09:24,672
10700,Linde 17,Linde 17,Assembly-16,74110-T20-A000-HCM,Completed,F/G Put Away,11/28/22 08:27 AM,11/28/22 08:30 AM,11/28/22 08:31 AM,00:01,0
10699,Linde 15,Linde 15,Assembly-7,84111-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:26 AM,11/28/22 08:51 AM,11/28/22 08:51 AM,00:02,0
10698,Linde 11,Linde 11,Assembly-1,84500-T20-A112-X0-NH900L-WIP,Completed,Replenishment,11/28/22 08:26 AM,11/28/22 08:45 AM,11/28/22 08:45 AM,00:02,0
10697,Linde 17,Linde 17,Assembly-9,84141-T20-A010-M1-NH900L-WIP,Completed,Replenishment,11/28/22 08:24 AM,11/28/22 08:30 AM,11/28/22 08:30 AM,00:01,0
10696,Linde 15,Linde 15,Assembly-6,84161-T20-A016-C3-NH900L-HCM,Completed,F/G Put Away,11/28/22 08:24 AM,11/28/22 08:45 AM,11/28/22 08:45 AM,00:08,0
